,block_num,tx_time,tx_from,tx_to,tx_amount,tx_fee,account_value
0x14d5...2d284b,37495746,"Sep 03, 2020  18:31:53  /  UTC+9",0x14d5...2d284b,0x2968...c4e5a8,15,0.000775,151087068
0xee9d...b14dce,37495485,"Sep 03, 2020  18:27:32  /  UTC+9",0xee9d...b14dce,0x2968...c4e5a8,1428,0.000775,151087068
0x81ca...f0a8da,37495287,"Sep 03, 2020  18:24:14  /  UTC+9",0x81ca...f0a8da,0x2968...c4e5a8,3897,0.000775,151087068
0x7cf1...8ae7b2,37495093,"Sep 03, 2020  18:21:00  /  UTC+9",0x7cf1...8ae7b2,0x2968...c4e5a8,100,0.000775,151087068
0xf7e8...d86e0d,37495089,"Sep 03, 2020  18:20:56  /  UTC+9",0xf7e8...d86e0d,0x2968...c4e5a8,50,0.000775,151087068
0xbbb6...589618,37494501,"Sep 03, 2020  18:11:08  /  UTC+9",0xbbb6...589618,0x2968...c4e5a8,0,0.001690...,151087068
0x92b9...d4ae88,37494180,"Sep 03, 2020  18:05:47  /  UTC+9",0x92b9...d4ae88,0x2968...c4e5a8,-5122,0.000775,151087068
0x3e95...08ae2e,37494168,"Sep 03, 2020  18:05:35  /  UTC+9",0x3e95...08ae2e,0x2968...c4e5a8,0,0.001652...,151087068
0xff26...dd0d19,37493968,"Sep 03, 2020  18:02:15  /  UTC+9",0xff26...dd0d19,0x2968...c4e5a8,-100000,0.000775,151087068
0xf069...99fd68,37493675,"Sep 03, 2020  17:57:22  /  UTC+9",0xf069...99fd68,0x2968...c4e5a8,9,0.000775,151087068
0x865c...1580e6,37493031,"Sep 03, 2020  17:46:38  /  UTC+9",0x865c...1580e6,0x2968...c4e5a8,50,0.000775,151087068
0xb72a...7e660c,37493027,"Sep 03, 2020  17:46:34  /  UTC+9",0xb72a...7e660c,0x2968...c4e5a8,50,0.000775,151087068
0x36ed...ba5231,37492954,"Sep 03, 2020  17:45:21  /  UTC+9",0x36ed...ba5231,0x2968...c4e5a8,1131,0.000775,151087068
0xe638...80a170,37492951,"Sep 03, 2020  17:45:18  /  UTC+9",0xe638...80a170,0x2968...c4e5a8,50,0.000775,151087068
0x4d2a...c297b7,37492626,"Sep 03, 2020  17:39:53  /  UTC+9",0x4d2a...c297b7,0x2968...c4e5a8,5,0.000775,151087068
